,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA
407,AAR221,JFK,17:20,17:00,17:00
408,KAL024,SFO,17:20,16:43,16:43
409,KAL082,JFK,17:20,17:18,17:18
410,KAL622,MNL,17:20,16:49,16:49
411,AJX8477,NRT,17:25,17:00,17:00
412,CSH827,PVG,17:25,17:17,17:17
413,KAL862,TAO,17:25,17:34,17:34
414,KAL786,KOJ,17:30,,
415,AAR201,LAX,17:35,17:42,17:42
416,JNA078,DAD,17:35,18:11,18:11
417,KAL124,BNE,17:35,17:20,17:20
418,KAL660,BKK,17:35,17:54,17:54
419,KAL828,SZX,17:35,18:01,18:01
420,KAL864,TSN,17:35,17:13,17:13
421,AAR722,HKG,17:40,18:39,18:39
422,ESR932,HKG,17:40,18:21,18:21
423,KAL1408,PUS,17:40,17:30,
424,KAL840,WEH,17:40,17:24,17:24
425,THY90,IST,17:40,17:48,17:48
426,AAR271,SEA,17:45,17:06,17:06
427,KAL122,SYD,17:45,17:49,17:49
428,JJA8902,JMU,17:50,18:04,18:04
429,KAL018,LAX,17:50,17:04,17:04
430,KAL054,HNL,17:50,17:43,17:43
431,KAL072,YVR,17:50,17:40,17:40
432,KAL848,TNA,17:50,17:51,17:51
433,KAL790,FUK,17:55,,
434,KAL888,XMN,17:55,17:32,17:32
435,TWB126,DAD,17:55,18:57,18:57
436,KAL350,PEN,18:00,17:41,17:41
437,UPS38,SDF,18:00,17:27,17:27
438,JNA022,CEB,18:05,18:18,18:18
439,JNA114,HKG,18:05,18:53,18:53
440,KAL278,GDL,18:05,17:30,17:30
441,AAR340,HRB,18:10,17:53,17:53
442,AAR350,NKG,18:10,18:35,18:35
443,AAR360,HGH,18:10,18:55,18:55
444,AAR798,MXP,18:15,18:13,18:13
445,JJA2102,HKG,18:15,19:24,19:24
446,AAR334,PEK,18:20,19:16,19:16
447,ESR644,FUK,18:20,,
448,ASV714,KIX,18:25,17:58,17:58
449,AAR372,SZX,18:30,21:13,21:13
450,AAR384,SIN,18:30,18:08,18:08
451,AAR728,HAN,18:30,18:22,18:22
452,KAL250,JFK,18:35,17:52,17:52
453,KAL480,HAN,18:35,18:07,18:07
454,KAL648,SIN,18:35,18:26,18:26
455,AAR320,TAO,18:45,18:36,18:36
456,EVA160,TPE,18:45,19:02,19:02
457,JJA1801,OKA,18:45,19:04,19:04
458,KAL614,HKG,18:45,20:06,20:06
459,AAR113,KIX,18:55,18:24,18:24
460,JJA8504,WEH,18:55,18:44,18:44
461,AAR602,SYD,19:00,18:41,18:41
462,ESR652,KOJ,19:00,,
463,JJA2002,MFM,19:00,21:02,21:02
464,JJA1403,FUK,19:05,18:05,18:05
465,ASV744,TAK,19:10,,
466,JJA1901,CTS,19:10,18:38,18:38
467,JJA5101,VVO,19:10,18:31,18:31
468,CPA418,HKG,19:15,19:06,19:06
469,CSN683,HRB,19:15,18:49,18:49
470,KAL818,TXN,19:15,19:58,19:58
471,AAR366,PVG,19:20,20:26,20:26
472,AAR732,SGN,19:25,20:35,20:35
473,PAC654,HKG,19:25,19:42,19:42
474,KAL130,AKL,19:35,18:46,18:46
475,KAL504,LHR,19:35,19:11,19:11
476,PAL468,MNL,19:35,18:51,18:51
477,TWB272,OKA,19:35,19:29,19:29
478,AAR310,WEH,19:40,19:52,19:52
479,JNA228,FUK,19:40,,
480,TWB680,KHH,19:40,19:40,19:40
481,EVA172,KHH,19:45,19:13,19:13
482,JJA3401,SPN,19:45,19:30,19:30
483,APG9048,CEB,19:55,19:19,19:19
484,ESR614,KIX,19:55,20:02,20:02
485,KAL002,HNL,19:55,19:32,19:32
486,HAL459,HNL,20:00,19:36,19:36
487,KAL834,SHE,20:00,19:26,19:26
488,CSN369,PVG,20:05,22:00,22:00
489,CXA871,XMN,20:05,19:21,19:21
490,JNA264,KKJ,20:05,,
491,JNA642,GUM,20:05,19:55,19:55
492,AAR1713,OKA,20:10,20:20,20:20
493,AAR336,PEK,20:10,20:57,20:57
494,APJ009,KIX,20:10,19:47,19:47
495,CEB128,CEB,20:10,19:38,19:38
496,THA654,BKK,20:10,19:45,19:45
497,CPA430,HKG,20:15,19:50,19:50
498,AAR714,TPE,20:20,21:08,21:08
499,TWB286,KIX,20:20,20:18,20:18
500,KAL726,KIX,20:30,20:11,20:11
501,AAR308,YNT,20:35,20:24,20:24
502,JNA646,GUM,20:35,21:19,21:19
503,AMU826,MFM,20:40,20:28,20:28
504,CCA131,PEK,20:40,20:08,20:08
505,CES2043,TAO,20:40,20:50,20:50
506,CSN671,SHE,20:40,20:22,20:22
507,CES5051,PVG,20:45,21:17,21:17
508,CSN339,HAK,20:45,20:32,20:32
509,JJA3109,GUM,20:45,20:16,20:16
510,KAL114,GUM,20:45,20:30,20:30
511,AAR123,NGO,20:50,20:37,20:37
512,AAR157,KMI,20:50,,
513,JJA2202,BKK,20:50,20:14,20:14
514,UZB513,TAS,20:50,20:39,20:39
515,CSN675,DLC,20:55,21:09,21:09
516,ESR572,PPS,20:55,21:05,21:05
517,JNA204,NRT,21:00,20:56,20:56
518,JNA284,KIX,21:00,20:43,20:43
519,AAR730,HAN,21:05,23:06,23:06
520,CAL162,TPE,21:05,20:51,20:51
521,CDG4707,YNT,21:05,20:55,20:55
522,CES5049,YNT,21:05,20:49,20:49
523,CDG4619,TAO,21:10,20:59,20:59
524,CSN315,PEK,21:10,20:52,20:52
525,JJA1103,NRT,21:10,20:45,20:45
526,JJA2902,DAD,21:10,22:34,22:34
527,AAR930,LCK,21:15,20:04,20:04
528,CPA416,HKG,21:15,20:53,20:53
529,ESR604,NRT,21:15,20:58,20:58
530,KAL552,NRT,21:15,20:47,20:47
531,KAL796,CTS,21:15,20:41,20:41
532,KAL8554,KIX,21:15,21:23,21:23
533,KAL682,SGN,21:25,21:26,21:26
534,HKE626,HKG,21:35,21:01,21:01
535,KAL736,OKA,21:35,21:03,21:03
536,RBA651,BWN,21:35,21:11,21:11
537,TGW896,SIN,21:35,21:12,21:12
538,AAR197,NRT,21:40,21:10,21:10
539,ABW792,SVO,21:40,21:21,21:21
540,JJA1305,KIX,21:40,21:24,21:24
541,KAL484,HAN,21:40,23:14,23:14
542,SBI6273,VVO,21:40,21:16,21:16
543,CSZ9037,SZX,21:45,21:14,21:14
544,JJA3101,GUM,21:45,21:40,21:40
545,MAS038,KUL,21:45,21:45,21:45
546,VJC874,DAD,21:45,21:43,21:43
547,APJ011,KIX,21:50,21:49,21:49
548,CDG8065,TNA,21:50,21:22,21:22
549,UAL805,SFO,21:50,21:47,21:47
550,CDG4777,TAO,21:55,21:52,21:52
551,AAR105,NRT,22:05,21:28,21:28
552,AAR117,KIX,22:05,22:03,22:03
553,CSN6009,CGO,22:05,21:58,21:58
554,JJA1405,FUK,22:05,,
555,JJA8904,YNJ,22:05,21:32,21:32
556,AAR135,FUK,22:10,,
557,KAL486,DAD,22:15,21:54,21:54
558,PAL492,CRK,22:15,21:30,21:30
559,SIA602,SIN,22:15,21:34,21:34
560,UPS48,ANC,22:15,21:56,21:56
561,KAL822,DLC,22:20,22:09,22:09
562,CEB188,MNL,22:25,22:54,22:54
563,TWB294,FUK,22:25,,
564,KAL694,TPE,22:30,22:27,22:27
565,CRK622,HKG,22:35,21:36,21:36
566,KAL602,HKG,22:35,22:14,22:14
567,KAL782,FUK,22:35,,
568,APG888,MNL,22:40,22:07,22:07
569,TWB214,NRT,22:40,22:05,22:05
570,AFL252,SVO,22:45,22:21,22:21
571,CDG8071,TAO,22:45,22:24,22:24
572,ASV704,NRT,22:50,22:50,22:50
573,SHU5434,VVO,22:50,22:36,22:36
574,TWB240,NGO,22:50,22:12,22:12
575,TWB104,HKT,22:55,23:09,23:09
576,QDA9901,TAO,23:05,22:47,22:47
577,SBI6303,IKT,23:15,23:04,23:04
578,KAL1482,CJU,23:20,23:17,23:17
579,JJA8404,TAO,23:35,23:26,23:26
580,TAX702,DMK,23:35,23:20,23:20
581,TWB206,NRT,23:40,23:11,23:11
582,GEC8386,FRA,23:50,23:39,23:39
583,ETH673,NRT,23:55,23:31,23:31
584,EVA150,TPE,23:55,23:53,23:53
585,VJC838,CXR,23:55,00:06,23:50
