,label,1hour_prediction
435,3.0,4.4337842119325535
436,21.0,20.815503684171233
437,33.0,32.30501287786143
438,25.0,33.056299222172065
439,35.0,34.159165972054886
440,29.0,26.948928872269803
441,22.0,21.059663561406467
442,16.0,20.05805968084272
443,36.0,32.73934198448713
444,25.0,27.201601336504673
445,27.0,26.13477314130146
446,28.0,26.988103288062888
447,38.0,33.68034526619003
448,36.0,38.59935778635565
449,38.0,40.1823121626781
450,30.0,30.27941059245244
451,30.0,28.511744721075146
452,27.0,25.71219010340953
453,27.0,24.81637541754325
454,15.0,16.332809343628583
455,3.0,5.020820826247031
456,2.0,3.162844878485092
457,2.0,2.4656322785197546
458,2.0,0.9843139850118392
459,2.0,4.026771515288247
460,19.0,20.505707175305268
461,37.0,33.33540525621878
462,28.0,30.503412784254444
463,30.0,29.564035453963037
464,29.0,26.173774883316216
465,22.0,20.458048099549657
466,12.0,15.774715990244276
467,32.0,32.479441330396845
468,27.0,26.615223322126734
469,24.0,25.941246612371533
470,31.0,29.412810330356134
471,31.0,31.804648830252265
472,40.0,38.77527718032229
473,40.0,37.737291603291204
474,31.0,31.43037696833894
475,25.0,25.82796787771045
476,26.0,27.260556248157474
477,22.0,24.1559493692356
478,20.0,18.79773341735835
479,4.0,5.618127874230042
480,5.0,4.063380440393157
481,0.0,1.606575310994167
482,1.0,1.339644318408809
483,4.0,4.382403254091067
484,19.0,20.410639477417774
485,33.0,32.30318055944506
486,32.0,32.20038126988635
487,28.0,29.13850214105222
488,27.0,25.41436958202956
489,26.0,20.97553072578381
490,18.0,19.594076566649097
491,35.0,34.10092974894398
492,30.0,27.140641826767247
493,21.0,22.804121941009278
494,28.0,28.432934601721584
495,34.0,33.23000779546768
496,39.0,38.65987687323813
497,46.0,41.23447439970424
498,27.0,28.745197301969842
499,26.0,27.34948449976106
500,28.0,27.10063371615501
501,22.0,25.63435881540084
502,27.0,24.07607551832017
503,5.0,6.545148198121265
504,2.0,3.112412809839886
505,1.0,0.9502145105195131
506,0.0,0.8173400751967983
507,2.0,2.757845796017699
508,22.0,21.064929760738217
509,38.0,33.76942961575591
510,35.0,32.321254787638495
511,26.0,28.094715386783815
512,26.0,26.527691589090747
513,16.0,17.348625428410035
514,13.0,16.665189093801978
515,30.0,29.658470374817234
516,23.0,24.20673052046539
517,21.0,23.872088527745852
518,30.0,28.790062351289702
519,34.0,31.978260465540117
520,41.0,38.15885280207573
521,35.0,36.62150368629273
522,28.0,28.414338067445453
523,25.0,25.64369557530813
524,27.0,26.603100653866342
525,19.0,19.191532532473932
526,16.0,17.485317340562364
527,5.0,5.356655791182509
528,4.0,3.961394939871914
529,3.0,3.638538471943497
530,2.0,1.4880794787399758
531,3.0,5.99338010038272
