,label,1hour_prediction,label,2hour_prediction
530,2.0,1.746,3.0,4.97
531,3.0,4.838,18.0,18.918
532,18.0,18.964,31.0,30.267
533,31.0,30.836,27.0,28.748
534,27.0,28.463,29.0,29.636
535,29.0,29.19,23.0,23.507
536,23.0,23.161,23.0,21.916
537,23.0,21.921,24.0,22.287
538,24.0,22.652,25.0,26.514
539,25.0,26.185,21.0,21.586
540,21.0,21.386,20.0,21.242
541,20.0,21.308,26.0,25.73
542,26.0,25.949,34.0,32.886
543,34.0,30.291,38.0,38.458
544,38.0,38.249,40.0,39.515
545,40.0,39.345,33.0,30.724
546,33.0,31.806,27.0,26.804
547,27.0,26.785,24.0,25.423
548,24.0,25.112,20.0,20.438
549,20.0,20.873,19.0,16.75
550,19.0,18.169,9.0,6.964
551,9.0,7.35,8.0,7.347
552,8.0,7.211,2.0,2.004
553,2.0,1.944,2.0,1.867
554,2.0,1.686,1.0,1.349
555,1.0,1.484,15.0,17.089
556,15.0,16.52,27.0,28.516
557,27.0,29.152,31.0,31.516
558,31.0,31.382,35.0,29.437
559,35.0,33.064,26.0,25.402
560,26.0,24.956,18.0,18.216
561,18.0,17.958,18.0,18.291
562,18.0,18.456,32.0,31.386
563,32.0,31.342,27.0,27.804
564,27.0,27.759,18.0,20.281
565,18.0,19.69,24.0,25.504
566,24.0,25.892,34.0,34.093
567,34.0,34.458,34.0,36.194
568,34.0,36.471,46.0,44.413
569,46.0,43.955,36.0,33.403
570,36.0,33.398,24.0,25.009
571,24.0,25.148,25.0,26.031
572,25.0,25.849,24.0,24.762
573,24.0,24.592,25.0,22.776
574,25.0,23.124,4.0,4.706
575,4.0,4.755,6.0,5.878
576,6.0,5.778,2.0,2.016
577,2.0,1.961,1.0,0.881
578,1.0,0.993,1.0,2.164
579,1.0,2.146,19.0,19.389
580,19.0,19.318,33.0,31.762
581,33.0,31.988,29.0,29.383
582,29.0,29.7,32.0,31.717
583,32.0,32.04,29.0,27.142
584,29.0,27.254,19.0,19.384
585,19.0,19.545,22.0,21.698
586,22.0,21.993,26.0,28.238
587,26.0,31.401,24.0,24.621
588,24.0,24.928,24.0,24.63
589,24.0,24.535,28.0,28.488
590,28.0,28.571,30.0,30.12
591,30.0,29.527,40.0,39.416
592,40.0,38.918,40.0,39.07
