,label,1hour_prediction,label,2hour_prediction
478,26.0,26.82,22.0,22.911
479,22.0,23.115,10.0,9.919
480,10.0,9.718,4.0,3.934
481,4.0,3.997,5.0,4.817
482,5.0,4.297,0.0,1.283
483,0.0,1.552,2.0,0.703
484,2.0,1.724,4.0,3.746
485,4.0,3.46,7.0,8.789
486,7.0,7.773,25.0,24.385
487,25.0,24.101,37.0,37.117
488,37.0,36.829,39.0,39.185
489,39.0,39.246,40.0,39.265
490,40.0,39.843,30.0,29.869
491,30.0,29.938,24.0,25.534
492,24.0,25.923,36.0,35.986
493,36.0,36.18,31.0,30.917
494,31.0,30.779,29.0,28.304
495,29.0,28.525,30.0,28.958
496,30.0,28.875,22.0,23.09
497,22.0,22.767,25.0,23.942
498,25.0,23.772,41.0,39.08
499,41.0,38.822,39.0,38.233
500,39.0,38.022,29.0,28.584
501,29.0,28.091,22.0,23.314
502,22.0,23.173,19.0,20.35
503,19.0,20.161,10.0,9.797
504,10.0,9.62,4.0,4.29
505,4.0,4.081,5.0,5.103
506,5.0,5.107,2.0,1.756
507,2.0,1.673,1.0,0.768
508,1.0,0.747,0.0,0.168
509,0.0,0.133,10.0,9.699
510,10.0,9.71,23.0,22.91
511,23.0,22.847,39.0,37.36
512,39.0,37.007,36.0,36.804
513,36.0,36.965,37.0,37.118
514,37.0,37.189,29.0,29.725
515,29.0,29.541,25.0,25.949
516,25.0,25.763,30.0,30.517
517,30.0,30.699,27.0,27.446
518,27.0,27.683,26.0,26.144
519,26.0,26.627,21.0,21.793
520,21.0,21.859,17.0,18.652
521,17.0,17.876,20.0,20.651
522,20.0,21.469,35.0,35.019
523,35.0,35.333,33.0,30.449
524,33.0,31.729,28.0,27.757
525,28.0,27.537,27.0,26.79
526,27.0,27.16,19.0,19.204
527,19.0,18.951,12.0,12.126
528,12.0,12.527,3.0,4.005
529,3.0,4.136,7.0,6.416
530,7.0,6.446,2.0,1.92
531,2.0,1.74,1.0,0.969
532,1.0,0.961,2.0,1.978
533,2.0,2.254,9.0,9.294
534,9.0,9.135,24.0,24.018
535,24.0,23.759,35.0,35.232
536,35.0,34.773,41.0,39.715
537,41.0,39.999,30.0,33.248
538,30.0,32.95,29.0,29.882
539,29.0,30.64,40.0,37.039
540,40.0,38.45,31.0,31.048
541,31.0,30.149,27.0,28.147
542,27.0,28.686,29.0,28.68
543,29.0,28.328,24.0,20.654
544,24.0,22.129,21.0,20.571
545,21.0,19.927,22.0,20.618
546,22.0,21.606,38.0,37.481
547,38.0,37.097,37.0,36.19
548,37.0,36.52,26.0,26.429
549,26.0,27.439,23.0,26.397
550,23.0,24.244,21.0,20.723
551,21.0,21.746,15.0,13.902
552,15.0,14.158,5.0,4.711
553,5.0,4.65,3.0,3.616
554,3.0,3.511,3.0,2.61
555,3.0,2.647,2.0,1.954
556,2.0,1.994,2.0,2.082
557,2.0,2.147,8.0,8.122
558,8.0,7.975,21.0,21.195
559,21.0,21.416,28.0,31.682
560,28.0,31.962,41.0,40.423
561,41.0,40.532,37.0,36.716
562,37.0,36.432,31.0,30.686
563,31.0,30.795,30.0,28.567
564,30.0,29.043,38.0,35.929
565,38.0,35.95,30.0,29.881
566,30.0,29.944,28.0,27.096
567,28.0,27.017,26.0,25.963
568,26.0,26.227,21.0,21.797
569,21.0,21.748,22.0,21.728
570,22.0,21.798,39.0,37.885
571,39.0,37.707,39.0,37.693
572,39.0,37.845,28.0,28.016
573,28.0,28.062,27.0,26.817
574,27.0,27.587,19.0,21.459
575,19.0,21.181,16.0,16.328
576,16.0,16.022,4.0,4.422
577,4.0,4.492,4.0,4.847
578,4.0,4.953,5.0,4.09
579,5.0,4.039,2.0,1.938
580,2.0,1.87,1.0,1.152
581,1.0,1.126,10.0,9.476
582,10.0,9.845,22.0,22.288
583,22.0,22.277,31.0,32.473
584,31.0,32.749,40.0,39.694
585,40.0,40.122,35.0,36.086
586,35.0,35.81,30.0,30.125
587,30.0,30.754,28.0,27.119
588,28.0,29.202,33.0,32.512
589,33.0,32.84,25.0,27.329
590,25.0,27.496,32.0,30.533
591,32.0,30.52,24.0,24.169
592,24.0,24.561,16.0,20.956
593,16.0,17.793,24.0,23.01
594,24.0,23.992,34.0,34.779
595,34.0,34.449,38.0,37.214
596,38.0,37.286,29.0,28.94
597,29.0,28.754,25.0,26.432
598,25.0,28.374,29.0,22.711
599,29.0,28.082,16.0,15.313
600,16.0,15.428,7.0,6.985
601,7.0,6.904,4.0,4.082
602,4.0,4.008,1.0,1.309
603,1.0,1.287,1.0,1.537
604,1.0,1.512,1.0,1.918
605,1.0,1.858,9.0,9.41
606,9.0,9.345,25.0,24.135
607,25.0,24.125,36.0,35.424
608,36.0,35.348,37.0,37.964
609,37.0,37.944,40.0,39.959
610,40.0,39.971,29.0,29.414
611,29.0,29.665,29.0,29.509
612,29.0,30.232,35.0,33.821
613,35.0,34.579,34.0,32.397
614,34.0,32.731,28.0,27.277
615,28.0,27.341,26.0,25.679
616,26.0,25.919,23.0,22.234
617,23.0,22.233,19.0,20.094
618,19.0,19.838,32.0,33.89
619,32.0,33.852,41.0,39.291
620,41.0,39.441,29.0,28.788
621,29.0,28.173,32.0,26.167
622,32.0,29.986,22.0,22.598
623,22.0,22.271,9.0,9.824
624,9.0,10.611,5.0,8.536
625,5.0,6.431,5.0,5.614
626,5.0,5.535,3.0,2.445
627,3.0,1.441,2.0,1.04
628,2.0,1.74,4.0,3.168
629,4.0,3.309,7.0,7.356
630,7.0,7.456,21.0,21.584
631,21.0,21.599,37.0,37.013
632,37.0,37.401,35.0,36.687
633,35.0,36.567,45.0,42.752
634,45.0,42.672,36.0,33.553
635,36.0,33.713,18.0,22.407
636,18.0,22.428,34.0,33.498
637,34.0,33.809,28.0,28.58
638,28.0,28.357,29.0,28.675
639,29.0,28.769,28.0,27.536
640,28.0,27.061,25.0,23.619
641,25.0,24.71,23.0,22.155
642,23.0,21.442,35.0,37.567
643,35.0,35.465,36.0,36.556
644,36.0,36.705,27.0,27.76
645,27.0,27.724,26.0,26.766
646,26.0,26.776,28.0,25.585
647,28.0,26.32,10.0,10.016
648,10.0,9.477,3.0,3.998
649,3.0,3.283,4.0,3.774
650,4.0,3.81,0.0,0.746
651,0.0,0.679,1.0,1.115
652,1.0,1.25,4.0,3.803
653,4.0,3.647,9.0,8.329
654,9.0,8.428,20.0,20.95
655,20.0,20.849,40.0,39.215
656,40.0,38.603,43.0,41.635
657,43.0,41.447,39.0,38.275
658,39.0,38.712,30.0,29.827
659,30.0,29.975,25.0,26.275
660,25.0,26.998,34.0,34.223
661,34.0,34.363,26.0,27.051
662,26.0,27.721,28.0,28.082
663,28.0,28.014,29.0,28.518
664,29.0,28.456,27.0,26.041
665,27.0,25.958,23.0,22.868
666,23.0,22.516,38.0,35.234
667,38.0,37.441,43.0,40.308
668,43.0,40.137,26.0,26.334
669,26.0,26.577,26.0,25.816
670,26.0,26.229,20.0,21.822
671,20.0,21.269,10.0,10.009
672,10.0,10.021,4.0,4.152
673,4.0,4.179,5.0,5.123
674,5.0,5.229,0.0,0.546
675,0.0,0.528,1.0,0.883
676,1.0,0.948,0.0,0.247
677,0.0,0.216,10.0,9.41
678,10.0,8.84,19.0,19.796
679,19.0,19.62,37.0,36.347
680,37.0,35.953,40.0,38.545
681,40.0,39.382,35.0,36.072
682,35.0,35.957,31.0,30.614
683,31.0,30.747,26.0,27.344
684,26.0,27.133,29.0,29.784
685,29.0,29.763,28.0,28.454
686,28.0,28.391,27.0,27.179
687,27.0,26.953,23.0,23.005
688,23.0,23.22,20.0,20.353
689,20.0,20.281,20.0,20.736
690,20.0,20.439,37.0,36.479
691,37.0,36.952,38.0,35.465
692,38.0,35.885,25.0,25.977
693,25.0,26.007,30.0,28.896
694,30.0,29.02,21.0,22.403
695,21.0,22.019,9.0,8.681
696,9.0,8.567,0.0,0.797
697,0.0,0.715,8.0,7.667
698,8.0,7.947,2.0,1.838
699,2.0,1.759,1.0,1.024
700,1.0,1.097,3.0,2.981
701,3.0,2.982,13.0,11.219
702,13.0,11.765,24.0,22.849
703,24.0,21.837,37.0,36.9
704,37.0,36.537,40.0,39.654
705,40.0,39.643,40.0,39.772
706,40.0,39.763,28.0,28.744
707,28.0,28.376,29.0,30.667
708,29.0,31.52,30.0,32.484
709,30.0,31.578,27.0,35.256
710,27.0,29.491,26.0,27.532
711,26.0,27.363,20.0,20.423
712,20.0,20.331,16.0,18.155
713,16.0,17.229,16.0,18.656
714,16.0,18.498,26.0,30.252
715,26.0,28.738,32.0,33.645
716,32.0,33.874,42.0,37.027
717,42.0,36.322,22.0,24.601
718,22.0,28.709,26.0,24.774
719,26.0,23.262,16.0,16.54
720,16.0,16.56,10.0,9.586
721,10.0,9.426,5.0,4.978
722,5.0,4.909,3.0,2.261
723,3.0,1.556,1.0,2.275
724,1.0,1.643,3.0,2.938
725,3.0,2.956,8.0,8.368
726,8.0,8.299,22.0,21.82
727,22.0,22.085,37.0,36.639
728,37.0,37.23,41.0,40.096
729,41.0,40.158,38.0,38.151
730,38.0,38.021,30.0,30.11
731,30.0,30.157,29.0,28.485
732,29.0,28.436,35.0,34.452
733,35.0,34.085,31.0,31.019
734,31.0,30.869,29.0,28.304
735,29.0,28.405,30.0,28.123
736,30.0,27.969,18.0,20.087
737,18.0,19.952,19.0,21.893
738,19.0,21.143,41.0,39.065
739,41.0,39.292,34.0,34.462
740,34.0,34.714,30.0,29.422
741,30.0,29.396,30.0,28.854
742,30.0,29.152,23.0,23.076
743,23.0,24.065,15.0,14.696
744,15.0,14.866,4.0,4.318
745,4.0,4.462,6.0,5.651
746,6.0,5.695,1.0,1.07
747,1.0,0.962,1.0,0.984
748,1.0,1.121,1.0,1.219
749,1.0,1.661,8.0,9.494
750,8.0,8.55,23.0,22.853
751,23.0,22.819,37.0,36.75
752,37.0,35.428,36.0,38.626
753,36.0,37.103,43.0,41.278
754,43.0,41.273,33.0,31.424
755,33.0,31.707,27.0,29.04
756,27.0,28.261,30.0,30.644
757,30.0,30.48,27.0,27.281
758,27.0,27.051,27.0,27.208
759,27.0,26.951,22.0,23.362
760,22.0,25.92,23.0,20.692
761,23.0,21.896,20.0,20.164
762,20.0,20.451,32.0,33.165
763,32.0,33.536,41.0,39.164
764,41.0,39.595,29.0,28.75
765,29.0,27.778,29.0,28.318
766,29.0,28.695,25.0,24.614
767,25.0,24.056,9.0,8.927
768,9.0,8.967,5.0,4.984
769,5.0,4.813,3.0,3.548
770,3.0,3.506,2.0,1.822
